Año,Trimestre,Provincia,Banda ancha fija,Dial up,indice
2015,4,Buenos Aires,3,13.0,672
2015,4,Capital Federal,1,10.0,673
2015,4,Catamarca,26,13.0,674
2015,4,Chaco,87,16.0,675
2015,4,Chubut,62,2.0,676
2015,4,Córdoba,626,235.0,677
2015,4,Corrientes,85,26.0,678
2015,4,Entre Ríos,174,180.0,679
2015,4,Formosa,28,1.0,680
2015,4,Jujuy,40,2.0,681
2015,4,La Pampa,66,312.0,682
2015,4,La Rioja,17,18.0,683
2015,4,Mendoza,169,2.0,684
2015,4,Misiones,93,7.0,685
2015,4,Neuquén,105,2.0,686
2015,4,Río Negro,99,1.0,687
2015,4,Salta,102,3.0,688
2015,4,San Juan,51,621.0,689
2015,4,San Luis,13,317.0,690
2015,4,Santa Cruz,26,356.0,691
2015,4,Santa Fe,561,627.0,692
2015,4,Santiago Del Estero,39,3.0,693
2015,4,Tierra Del Fuego,29,619.0,694
2015,4,Tucumán,146,42.0,695
2015,3,Buenos Aires,3,13.0,696
2015,3,Capital Federal,1,10.0,697
2015,3,Catamarca,26,13.0,698
2015,3,Chaco,85,16.0,699
2015,3,Chubut,62,2.0,700
2015,3,Córdoba,623,237.0,701
2015,3,Corrientes,85,28.0,702
2015,3,Entre Ríos,172,182.0,703
2015,3,Formosa,28,1.0,704
2015,3,Jujuy,40,2.0,705
2015,3,La Pampa,65,495.0,706
2015,3,La Rioja,17,18.0,707
2015,3,Mendoza,169,2.0,708
2015,3,Misiones,92,7.0,709
2015,3,Neuquén,98,2.0,710
2015,3,Río Negro,99,1.0,711
2015,3,Salta,101,3.0,712
2015,3,San Juan,51,621.0,713
2015,3,San Luis,13,317.0,714
